id,url,name,name_abbreviation,decision_date,docket_number,first_page,last_page,citations.0.type,citations.0.cite,citations.1.type,citations.1.cite,volume.url,volume.volume_number,volume.barcode,reporter.url,reporter.full_name,reporter.id,court.url,court.name_abbreviation,court.slug,court.id,court.name,jurisdiction.id,jurisdiction.name_long,jurisdiction.url,jurisdiction.slug,jurisdiction.whitelisted,jurisdiction.name,frontend_url,frontend_pdf_url,preview,analysis.word_count,analysis.random_bucket,analysis.sha256,analysis.ocr_confidence,analysis.char_count,analysis.random_id,analysis.pagerank.percentile,analysis.pagerank.raw,analysis.cardinality,analysis.simhash,last_updated,provenance.date_added,provenance.batch,provenance.source,citations.2.type,citations.2.cite,citations.3.type,citations.3.cite,citations.4.type,citations.4.cite
220712,https://api.case.law/v1/cases/220712/,"SPECIAL CARE OF NEW JERSEY, INC., PETITIONER-APPELLANT, v. BOARD OF REVIEW AND CHRISTINE REISTLE, RESPONDENTS-RESPONDENTS","Special Care of New Jersey, Inc. v. Board of Review",2000-01-10,,197,212,official,327 N.J. Super. 197,parallel,742 A.2d 1023,https://api.case.law/v1/volumes/32044056699176/,327,32044056699176,https://api.case.law/v1/reporters/299/,New Jersey Superior Court Reports,299,https://api.case.law/v1/courts/nj-super-ct-app-div/,N.J. Super. Ct. App. Div.,nj-super-ct-app-div,8805,"New Jersey Superior Court, Appellate Division",24,New Jersey,https://api.case.law/v1/jurisdictions/nj/,nj,False,N.J.,https://cite.case.law/nj-super/327/197/,"https://cite.case.law/pdf/220712/Special%20Care%20of%20New%20Jersey,%20Inc.%20v.%20Board%20of%20Review,%20327%20N.J.%20Super.%20197,%20742%20A.2d%201023%20(2000).pdf",[],3744,12770,644f910a1f35749194a3735b0f7b442d47437af42237328be375646410b6f36c,0.705,23270,875770338,0.3684468211499504,5.893218373675786e-08,1270,1:d2b99718b0864dcd,2021-09-21T20:02:18.861595+00:00,2019-08-29,2018,Harvard,,,,,,
11487946,https://api.case.law/v1/cases/11487946/,"In re COYNE ELECTRICAL CONTRACTORS, INC., Debtor. Coyne Electrical Contractors, Inc., Plaintiff, v. The United States of America, et al. [including A-J Contracting Company, Inc.], Defendants; A-J Contracting Company, Inc., Third-Party Plaintiff, v. Alex Brown & Sons Incorporated, American Management Systems, Kellner DiLeo & Co., Third-Party Defendants","Coyne Electrical Contractors, Inc. v. United States (In re Coyne Electrical Contractors, Inc.)",2000-01-10,Bankruptcy No. 98 B 20787(ASH); Adversary No. 98-5191A,245,253,official,244 B.R. 245,,,https://api.case.law/v1/volumes/32044056699077/,244,32044056699077,https://api.case.law/v1/reporters/935/,West's Bankruptcy Reporter,935,https://api.case.law/v1/courts/bankr-sdny/,Bankr. S.D.N.Y.,bankr-sdny,9340,United States Bankruptcy Court for the Southern District of New York,39,United States,https://api.case.law/v1/jurisdictions/us/,us,False,U.S.,https://cite.case.law/br/244/245/,"https://cite.case.law/pdf/11487946/Coyne%20Electrical%20Contractors,%20Inc.%20v.%20United%20States%20(In%20re%20Coyne%20Electrical%20Contractors,%20Inc.),%20244%20B.R.%20245%20(2000).pdf",[],4352,37224,b5e2d990c8f96391baaa51154e2cac8dba5fa736e1e3d34cb20a7ffed2da20d9,0.647,26344,2876019048,0.2402049223133533,4.037307804377483e-08,1283,1:abf7e710ebf6e15f,2021-09-21T20:02:18.861595+00:00,2019-08-29,2018,Harvard,,,,,,
11496437,https://api.case.law/v1/cases/11496437/,"In re Voravit CHINOSORN, Debtor",In re Chinosorn,2000-01-19,Bankruptcy No. 99 B 03025,688,701,official,243 B.R. 688,,,https://api.case.law/v1/volumes/32044056696040/,243,32044056696040,https://api.case.law/v1/reporters/935/,West's Bankruptcy Reporter,935,https://api.case.law/v1/courts/bankr-nd-ill/,Bankr. N.D. Ill.,bankr-nd-ill,9334,United States Bankruptcy Court for the Northern District of Illinois,39,United States,https://api.case.law/v1/jurisdictions/us/,us,False,U.S.,https://cite.case.law/br/243/688/,"https://cite.case.law/pdf/11496437/In%20re%20Chinosorn,%20243%20B.R.%20688%20(2000).pdf",[],7751,48994,2f258142e610f59e8bb90584ac1126178961fc75ad5d0c293cdd582c60a4081a,0.674,46226,754106210,0.6617138883402748,1.4845169192550274e-07,1602,1:d33ee1b692947467,2021-09-21T20:02:18.861595+00:00,2019-08-29,2018,Harvard,,,,,,
11482216,https://api.case.law/v1/cases/11482216/,"Ancel Vincent ELCOCK, Petitioner, v. UNITED STATES of America, Respondent",Elcock v. United States,2000-01-26,Civil Action No. CV-99-1757 (DGT),70,87,official,80 F. Supp. 2d 70,,,https://api.case.law/v1/volumes/32044056708050/,80,32044056708050,https://api.case.law/v1/reporters/934/,Federal Supplement 2d,934,https://api.case.law/v1/courts/edny/,E.D.N.Y.,edny,9066,United States District Court for the Eastern District of New York,39,United States,https://api.case.law/v1/jurisdictions/us/,us,False,U.S.,https://cite.case.law/f-supp-2d/80/70/,"https://cite.case.law/pdf/11482216/Elcock%20v.%20United%20States,%2080%20F.%20Supp.%202d%2070%20(2000).pdf",[],9609,53634,25e10b4de16b409043399f2ac6dab91805f9cad62521c123d581c1b4f078c904,0.683,59980,3648246146,0.5874098575617712,1.1761253746194992e-07,2005,1:bacf9b0e25dc9702,2021-09-21T20:02:18.861595+00:00,2019-08-29,2018,Harvard,,,,,,
11496151,https://api.case.law/v1/cases/11496151/,"UNIVERSITY OF VIRGINIA, Appellant, v. John B. ROBERTSON, Appellee",University of Virginia v. Robertson,2000-01-27,No. 5:99cv00046,657,666,official,243 B.R. 657,,,https://api.case.law/v1/volumes/32044056696040/,243,32044056696040,https://api.case.law/v1/reporters/935/,West's Bankruptcy Reporter,935,https://api.case.law/v1/courts/wd-va/,W.D. Va.,wd-va,9196,United States District Court for the Western District of Virginia,39,United States,https://api.case.law/v1/jurisdictions/us/,us,False,U.S.,https://cite.case.law/br/243/657/,"https://cite.case.law/pdf/11496151/University%20of%20Virginia%20v.%20Robertson,%20243%20B.R.%20657%20(2000).pdf",[],4295,45659,fbf73f950ea473eb665665d18f62c509e77ec9f9a70944d8c4a78a4d96949ba3,0.689,26771,3827741275,0.525164009862311,9.560190017919613e-08,1067,1:f0d8b39cd671d423,2021-09-21T20:02:18.861595+00:00,2019-08-29,2018,Harvard,,,,,,
6466670,https://api.case.law/v1/cases/6466670/,"Ethan SHAW, and Clive D. Moon, On Behalf of Themselves and All Others Similarly Situated, Plaintiffs, v. TOSHIBA AMERICA INFORMATION SYSTEMS, INC., NEC Electronics, Inc., Toshiba Corporation, Toshiba America, Inc., Toshiba America Electronic Components, Inc., and NEC Corporation, Defendants","Shaw v. Toshiba America Information Systems, Inc.",2000-01-28,No. 1:99-CV-0120 (TH),942,992,official,91 F. Supp. 2d 942,,,https://api.case.law/v1/volumes/NOTALEPH001155/,91,NOTALEPH001155,https://api.case.law/v1/reporters/934/,Federal Supplement 2d,934,https://api.case.law/v1/courts/ed-tex/,E.D. Tex.,ed-tex,9136,United States District Court for the Eastern District of Texas,39,United States,https://api.case.law/v1/jurisdictions/us/,us,False,U.S.,https://cite.case.law/f-supp-2d/91/942/,"https://cite.case.law/pdf/6466670/Shaw%20v.%20Toshiba%20America%20Information%20Systems,%20Inc.,%2091%20F.%20Supp.%202d%20942%20(2000).pdf",[],27916,56556,3bd49714a1c2fd19d2c0b0454c0e1faa05378aa90f8fd1fa2d687737f669a481,0.669,176468,3572227308,0.8299946387053043,2.718632799655002e-07,4295,1:e9c6b338ec992fe9,2021-09-21T20:02:18.861595+00:00,2019-08-29,2018,Harvard,,,,,,
11251736,https://api.case.law/v1/cases/11251736/,John McCURRY v. STATE of Alabama,McCurry v. State,2000-02-04,CR-98-2281,989,992,official,763 So. 2d 989,,,https://api.case.law/v1/volumes/32044058726605/,763,32044058726605,https://api.case.law/v1/reporters/1026/,"Southern Reporter, Second Series",1026,https://api.case.law/v1/courts/ala-crim-app/,Ala. Crim. App.,ala-crim-app,12083,Alabama Court of Criminal Appeals,23,Alabama,https://api.case.law/v1/jurisdictions/ala/,ala,False,Ala.,https://cite.case.law/so-2d/763/989/,"https://cite.case.law/pdf/11251736/McCurry%20v.%20State,%20763%20So.%202d%20989%20(2000).pdf",[],1520,56146,09edf3cfce59952be4ff545794d6e91085e9cd2df1a014108439860e4e51b8b7,0.665,8995,2140789586,0.23838551859666518,4.037307804377483e-08,590,1:8d1c97d0fa3b0735,2021-09-21T20:02:18.861595+00:00,2019-08-29,2018,Harvard,,,,,,
11468453,https://api.case.law/v1/cases/11468453/,"Jacquelin BARKER-HATCH and John Hatch, Plaintiff, v. VIEJAS GROUP BARON LONG CAPITAN GRANDE BAND OF DIGUENO MISSION INDIANS OF THE VIEJAS GROUP RESERVATION, CALIFORNIA, Defendant",Barker-Hatch v. Viejas Group Baron Long Capitan Grande Band of Digueno Mission Indians of Viejas Group Reservation,2000-02-08,No. 99 CV 1730BTM(LSP),1155,1157,official,83 F. Supp. 2d 1155,,,https://api.case.law/v1/volumes/32044056738040/,83,32044056738040,https://api.case.law/v1/reporters/934/,Federal Supplement 2d,934,https://api.case.law/v1/courts/sd-cal/,S.D. Cal.,sd-cal,9089,United States District Court for the Southern District of California,39,United States,https://api.case.law/v1/jurisdictions/us/,us,False,U.S.,https://cite.case.law/f-supp-2d/83/1155/,"https://cite.case.law/pdf/11468453/Barker-Hatch%20v.%20Viejas%20Group%20Baron%20Long%20Capitan%20Grande%20Band%20of%20Digueno%20Mission%20Indians%20of%20Viejas%20Group%20Reservation,%2083%20F.%20Supp.%202d%201155%20(2000).pdf",[],1163,36591,c88631cc01b98c00b6d8516642164a0c3c2d951435d845545b4b44338b3e87af,0.664,7155,952864495,0.2964828787044239,4.721064329908437e-08,481,1:f74adbb1f8a49894,2021-09-21T20:02:18.861595+00:00,2019-08-29,2018,Harvard,,,,,,
11180915,https://api.case.law/v1/cases/11180915/,"Bettye CALLENS, individually and as administrator of the estate of Julia Presley, deceased v. JEFFERSON COUNTY NURSING HOME et al.",Callens v. Jefferson County Nursing Home,2000-02-11,1980323,273,281,official,769 So. 2d 273,,,https://api.case.law/v1/volumes/32044058799529/,769,32044058799529,https://api.case.law/v1/reporters/1026/,"Southern Reporter, Second Series",1026,https://api.case.law/v1/courts/ala/,Ala.,ala,10895,Alabama Supreme Court,23,Alabama,https://api.case.law/v1/jurisdictions/ala/,ala,False,Ala.,https://cite.case.law/so-2d/769/273/,"https://cite.case.law/pdf/11180915/Callens%20v.%20Jefferson%20County%20Nursing%20Home,%20769%20So.%202d%20273%20(2000).pdf",[],3911,36600,6ca0706cb13b4b8740096e2ac72d35f40e5df79051ba59c6945d1007f9bcc858,0.68,24570,3426062072,0.8681422679492845,3.2377338728364624e-07,910,1:9fb53621c00c966e,2021-09-21T20:02:18.861595+00:00,2019-08-29,2018,Harvard,,,,,,
11513143,https://api.case.law/v1/cases/11513143/,"In re Richard STODDARD, Debtor. Ray Martin, Plaintiff, v. Richard Stoddard, Defendant",Martin v. Stoddard (In re Stoddard),2000-02-11,No. 99-3136,111,122,official,248 B.R. 111,,,https://api.case.law/v1/volumes/32044056654809/,248,32044056654809,https://api.case.law/v1/reporters/935/,West's Bankruptcy Reporter,935,https://api.case.law/v1/courts/bankr-nd-ohio/,Bankr. N.D. Ohio,bankr-nd-ohio,9343,United States Bankruptcy Court for the Northern District of Ohio,39,United States,https://api.case.law/v1/jurisdictions/us/,us,False,U.S.,https://cite.case.law/br/248/111/,"https://cite.case.law/pdf/11513143/Martin%20v.%20Stoddard%20(In%20re%20Stoddard),%20248%20B.R.%20111%20(2000).pdf",[],5061,42592,a33067be511e718d815d2cf88903d13c06363e04151807c780ded60f86b6b223,0.674,30907,2465310304,0.5246819373792285,9.542196174370224e-08,1308,1:36ce5e610a7cb0c8,2021-09-21T20:02:18.861595+00:00,2019-08-29,2018,Harvard,,,,,,
